year,team name,number of wins,cost per win
2010,San Diego Padres,90,419992
2010,Pittsburgh Pirates,57,613035
2010,Texas Rangers,90,613895
2010,Oakland Athletics,81,682159
2010,Florida Marlins,80,712871
2010,Toronto Blue Jays,85,732165
2010,Tampa Bay Rays,96,749203
2010,Cincinnati Reds,91,788588
2010,Cleveland Indians,69,887014
2010,Washington Nationals,69,889855
2010,Atlanta Braves,91,927733
2010,Arizona Diamondbacks,65,934126
2010,Colorado Rockies,83,1014783
2010,Minnesota Twins,94,1037863
2010,Milwaukee Brewers,77,1053354
2010,Kansas City Royals,67,1065749
2010,San Francisco Giants,92,1072188
2010,St. Louis Cardinals,86,1087683
2010,Los Angeles Dodgers,80,1191975
2010,Chicago White Sox,88,1199205
2010,Houston Astros,76,1215204
2010,Baltimore Orioles,66,1236553
2010,Los Angeles Angels of Anaheim,80,1312048
2010,Seattle Mariners,61,1418197
2010,Philadelphia Phillies,97,1463179
2010,Detroit Tigers,81,1516851
2010,New York Mets,79,1701556
2010,Boston Red Sox,89,1825251
2010,Chicago Cubs,75,1954787
2010,New York Yankees,95,2171930
